                  id                  |            name             
 e47b2bac-5cf1-4213-aea2-d5930ae66a41 | North Carolina A&T
 3aa113d6-edb9-47e7-bd16-0072859b2e54 | North Carolina Central
 8c39555c-b5a5-428a-a4a3-38279e61f88d | North Carolina State
 64e8ff95-0b6b-4dbe-9006-6a768996ea92 | North Dakota
 a3a914b8-d65b-4719-95f7-5e8c8235d8f4 | North Dakota State
 6bd7800d-9a99-4f4c-8bef-7c76a0ade063 | North Florida
 2ab93c13-d22a-4cd8-9530-0b521b347b4c | North Texas
 2abd2e39-301a-43ac-8c74-f63edb1a7eb4 | Northeastern
 399d977a-f58a-4a87-8455-3d48df8fef0d | Northern Arizona
 8c651982-d35b-417c-a28c-2ff2b59e1dce | Northern Colorado
 34251fac-3d50-4721-b911-ad09511f89c0 | Northern Illinois
 e122eeca-7734-47a6-87e9-1874e4321800 | Northern Iowa
 39467d30-16d4-4494-91b1-4375de5ee888 | Northern Kentucky
 ccfd6ba9-95e7-42e6-bac9-197c9467ba80 | Northwestern
 3dc77b68-c5fa-4b7f-ba03-d9634adb1329 | Northwestern State
 76acbbec-bdb0-4ce4-a87b-67c738959b02 | Notre Dame
 2b263199-30e0-47d8-ab32-5c9fec08902b | Oakland
 330317c7-b46c-47c9-b9db-c000651a617c | Ohio
 25161d79-10fe-49bb-9b20-aae7fac47ffc | Ohio State
 d1bf5f37-85e5-4dd7-900a-da70ebabe0a2 | Oklahoma
 a393aed3-1187-4f7d-9775-ef3e4c756d77 | Oklahoma State
 17aea468-ee9a-47fe-a616-23534bc18969 | Old Dominion
 b1bbd5b2-b83b-4ff4-a3be-21be46e36869 | Ole Miss
 09841129-226a-43fc-954b-71b18df9b75a | Omaha
 da45bb35-ba22-4730-9a05-41c7faeb7330 | Oral Roberts
 99ac9fbb-d92f-4369-9f01-1e39c3312b0f | Oregon
 b06c66b2-a0c5-4e47-92ea-d8124766c097 | Oregon State
 a8da7b51-6908-4e9c-a32e-6711c0e0a2b8 | Pacific
 859af3b5-8ebc-462d-a302-c0311973bfcf | Penn
 af4e7013-d192-4347-95a4-4119b1837c18 | Penn State
 110f609c-a762-4ce8-b73a-a8ab41a017d3 | Pepperdine
 c8652715-42ee-4340-b48f-32b0adadcf15 | Pittsburgh
 1492c68a-cd95-4d28-87ad-3684d37b21e3 | Play-in Losers
 199678a2-cae0-44eb-a6c1-6f5664dede8b | Portland
 79eac7cf-4ce9-4dca-ba83-a7438b2b7dfd | Portland State
 cafe808f-e9e2-4976-a816-a81eece5dd80 | Prairie View A&M
 09a9d1ec-e32b-4edb-80c5-2bfeca1abcee | Presbyterian
 067a436c-5d9e-4b9e-b58a-57fb1256a3f2 | Princeton
 fa7a0d9d-9200-4e4f-adf4-f0e9e9cdac7c | Providence
 a4147d04-0530-4166-8ed4-63e90453940c | Purdue
 d2d85beb-f4d0-47a4-89f7-d75981b191ac | Purdue Fort Wayne
 1504ba7d-0251-4d1b-8027-a33029f49627 | Quinnipiac
 1859dbca-d9c5-4375-89a9-de8c530ad76c | Radford
 08ca4d79-cff5-4153-8e43-2743669f7157 | Rhode Island
 6b890cca-0819-4db4-9d11-c70d4109de2f | Rice
 823cc027-8e2c-443d-9c8f-a9fb593bdcd3 | Richmond
 b98919a7-24f6-4611-9fe2-0b2c3028745a | Rider
 948e0999-2902-42cd-a9be-bee0db0124c1 | Robert Morris
 af43b58e-fe5e-4915-9c01-7c7fffddb16b | Rutgers
 1c00f427-f0cd-43f5-8784-9b2a637a1647 | SIU Edwardsville
 c2366620-a11b-4574-8df7-a7d428da0452 | SMU
 dfcd6903-ec28-4ed4-ab3b-b6b47fbbcf3c | Sacramento State
 ae919804-5886-451e-915b-5ce0334e3bba | Sacred Heart
 754f9d4c-6485-4253-a059-0d15eec30fea | Saint Francis
 e3a0ba64-d97b-4d14-a332-db382d3acd00 | Saint Joseph's
 ec909605-4dec-4226-a4e2-bb75d7239212 | Saint Louis
 038f7f9f-da60-49e9-b652-bed6b0996999 | Saint Mary's
 a882384e-0f36-4114-b538-8538d928374c | Saint Peter's
 7ac5f3aa-d095-45cf-8f05-ccd49845be1f | Sam Houston State
 d558662f-33f0-4113-b765-3f1cc26c9106 | Samford
 02f3d9ab-b2c5-4b0f-8678-4093e044319b | San Diego
 083cf895-227f-435e-8e0a-27170c2e73f2 | San Diego State
 89869cdb-62e9-4366-ad38-0a92b6bf9d5c | San Francisco
 9d43872f-45b1-4703-9b4a-1a7734487ae8 | San Jose State
 28b3300f-3f8e-4d7e-b79b-b77ec363b17b | Santa Clara
 949dcf3a-ea08-4c5e-af34-811af7447b10 | Seattle
 ec0e715d-fee7-4b5f-b5ef-daf889ca94f5 | Seton Hall
