Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT
339,Delaware St.,MEAC,-19.86,94.3,114.1,65.6
340,Bethune Cookman,MEAC,-20.21,95.0,115.3,68.1
341,Central Connecticut,NEC,-21.09,92.9,114.0,64.7
342,Alabama St.,SWAC,-21.55,91.1,112.7,68.2
343,Coppin St.,MEAC,-21.75,93.7,115.4,68.6
344,Florida A&M,MEAC,-22.34,93.6,116.0,69.1
345,Mississippi Valley St.,SWAC,-22.45,95.8,118.2,71.0
346,St. Francis NY,NEC,-24.32,87.8,112.1,66.9
347,Longwood,BSth,-25.12,92.2,117.3,70.3
348,Arkansas Pine Bluff,SWAC,-25.20,85.7,110.9,67.4
349,North Carolina A&T,MEAC,-27.48,95.5,123.0,62.7
350,Presbyterian,BSth,-29.22,88.8,118.1,64.0
351,Alabama A&M,SWAC,-30.21,91.4,121.6,64.1
